DemiGuru,76,20480261,[20479322 20479332 20478811 20480215 20479800 20477791 20480672 20481198 20481096 20479531 20478826 20479759 20478912 20480317 20479854],163,1563554854,QuickBooks Cloud Hosting Firm iNSYNQ Hit in Ransomware Attack,story,https://krebsonsecurity.com/2019/07/quickbooks-cloud-hosting-firm-insynq-hit-in-ransomware-attack/
begriffs,22,20481512,[20479322 20479332 20478811 20480215 20479800],62,1563562738,History and Effective Use of Vim,story,https://begriffs.com/posts/2019-07-19-history-use-vim.html?hn=3
fanf2,11,20477670,[20479322 20479332 20478811 20480215 20479800],38,1563535412,Amateur radio digital communications 44.0.0.0/8 partial sell-off,story,https://mailman.nanog.org/pipermail/nanog/2019-July/102103.html
jaequery,16,20479680,[20479322 20479332 20478811 20480215 20479800 20477791],88,1563551880," Understand the JavaScript SEO basics",story,https://developers.google.com/search/docs/guides/javascript-seo-basics
moioci,59,20477740,[20482274 20478350 20482061 20479306 20479242 20479069 20480786 20479085 20481642 20478907 20478920 20479501 20481487 20481120 20480618 20478872 20480772 20479526 20479853 20479609 20480021],303,1563536257,"Org-mode on web, built with React, for mobile, synced with Dropbox, Google Drive",story,https://github.com/DanielDe/org-web
feross,0,20480995,[20482274 20478350 20482061 20479306 20479242 20479069 20480786 20479085 20481642 20478907 20478920 20479501 20481487 20481120 20480618 20478872 20480772 20479526 20479853 20479609 20480021],32,1563559317,Meta-learning neural Bloom filters,story,https://blog.acolyer.org/2019/07/19/meta-learning-neural-bloom-filters/
ChrisRackauckas,52,20477873,[20482274 20478350 20482061 20479306 20479242 20479069 20480786 20479085 20481642 20478907 20478920 20479501 20481487 20481120],290,1563537523,A Differentiable Programming System to Bridge ML and Scientific Computing,story,https://arxiv.org/abs/1907.07587
noad,1,20480669,[20482274],34,1563557195,Dungeon Generation in Diablo 1,story,https://www.boristhebrave.com/2019/07/14/dungeon-generation-in-diablo-1/
jacdp,79,20479015,[20482274 20478350 20482061 20479306 20479242 20479069 20480786 20479085 20481642 20478907 20478920 20479501 20481487],115,1563547213,"Detecting Chrome headless, the game goes on",story,https://antoinevastel.com/bot%20detection/2019/07/19/detecting-chrome-headless-v3.html
espeed,44,20478860,[20482274 20478350 20482061 20479306 20479242 20479069 20480786 20479085 20481642 20478907 20478920 20479501],79,1563546105,CanvasKit – Skia and WebAssembly,story,https://skia.org/user/modules/canvaskit
pseudolus,22,20480398,[20482274 20478350 20482061 20479306 20479242],39,1563555557,Cities Want 'Digital Twins' to Manage Traffic,story,https://www.citylab.com/transportation/2019/07/digital-twin-mobility-data-standard-city-real-time-traffic/593914/
Rels,72,20478498,[20482274 20478350 20482061 20479306 20479242 20479069 20480786 20479085 20481642 20478907 20478920 20479501 20481487 20481120 20480618 20478872 20480772],120,1563543395,Authentication and the Have I Been Pwned API,story,https://www.troyhunt.com/authentication-and-the-have-i-been-pwned-api/
danso,11,20478785,[20482274 20478350 20482061 20479306 20479242],41,1563545569,Health Insurers Make It Easy for Scammers to Steal Millions,story,https://www.propublica.org/article/health-insurers-make-it-easy-for-scammers-to-steal-millions-who-pays-you
NaeosPsy,1,20477895,[20482274],7,1563537821,Dimensions and Haskell: Singletons in Action,story,https://serokell.io/blog/dimensions-haskell-singletons
hhs,39,20481225,[20482274 20478350 20482061 20479306 20479242 20479069 20480786 20479085 20481642 20478907 20478920 20479501],17,1563560933,Netflix CEO may have missed the real reason why US subscriber numbers plunged,story,https://www.marketwatch.com/story/why-too-much-content-could-be-hurting-netflixs-subscriber-numbers-2019-07-19
i0exception,11,20479872,[20482274 20478350 20482061 20479306],59,1563552900,Data Deduplication at Scale,story,https://engineering.mixpanel.com/2019/07/18/petabyte-scale-data-deduplication?referrer=hn
tene,47,20480277,[20482274 20478350 20482061 20479306 20479242 20479069 20480786 20479085 20481642 20478907],134,1563554940,A Rust-based TLS library outperformed OpenSSL in almost every category,story,https://www.zdnet.com/article/a-rust-based-tls-library-outperformed-openssl-in-almost-every-category/
JumpCrisscross,70,20479157,[20482274 20478350 20482061 20479306 20479242 20479069 20480786 20479085 20481642 20478907 20478920 20479501 20481487],70,1563548279,Employers are mining the data their workers generate,story,https://www.wsj.com/articles/the-new-ways-your-boss-is-spying-on-you-11563528604?mod=rsswn
jhow15,94,20478339,[20478376 20478410 20478511 20478056 20481209 20480417 20480511 20478512 20478057 20481769 20481993 20481490 20478136 20478307 20478194 20482137 20480405 20478256 20478503 20478039 20480555 20478455 20481781 20478329 20478160 20480526 20479952 20478320 20478333 20478659 20478110 20479360 20478417 20478592 20478153 20481567 20478543 20481266],307,1563542088,Show HN: I built a service to discover rapidly  growing Google search topics,story,https://trennd.co/
lovelearning,127,20477949,[20478376 20478410 20478511 20478056 20481209 20480417 20480511 20478512 20478057 20481769 20481993 20481490 20478136 20478307 20478194 20482137 20480405 20478256 20478503 20478039 20480555 20478455 20481781 20478329 20478160 20480526 20479952 20478320 20478333 20478659 20478110 20479360 20478417 20478592 20478153 20481567 20478543 20481266 20481036 20480598 20478064 20480392 20481146 20478010 20481695 20478164 20478191 20478037 20479576 20478206 20480457 20478148 20481126],160,1563538629,Ask HN: Are Lucene/Solr/ES Still Used for Search?,story,https://trennd.co/
