tosh,14,17033533,17034257 17033875 17034214 17034033,111,1525896585,Beautiful Racket,story,https://www.beautifulracket.com/
Kroeler,18,17034055,17034740 17034845 17034721 17034720 17034821 17034865 17034826 17034730 17034737 17034708,40,1525899783,Facebook Loses 1.3B Monthly Visits in Wake of Cambridge Analytica Scandal,story,http://nwn.blogs.com/nwn/2018/05/facebook-similarweb-cambridge-analytica.html
archagon,27,17033574,17034157 17034420 17034197 17034441 17034071 17034462 17034063 17034042,45,1525896837,Show HN: A Native Art Gallery for Your Mac,story,http://archagon.net/blog/2018/05/02/a-native-art-gallery-for-your-mac/
manigandham,67,17031334,17031971 17032549 17031649 17031542 17031827 17033893 17033465 17032162 17033486 17032310 17032767 17032339 17032248 17031619,161,1525884256,Cloud Memorystore: A fully managed in-memory data store service for Redis,story,https://cloudplatform.googleblog.com/2018/05/Introducing-Cloud-Memorystore-A-fully-managed-in-memory-data-store-service-for-Redis.html
kasbah,42,17031306,17031626 17033140 17031592 17032879 17032635 17031726 17032002 17034160 17031499 17032632,152,1525884034,A Year Using Matrix and Riot,story,https://itscode.red/posts/1-year-using-matrix/
digital55,20,17031660,17032947 17032441 17034242 17032674 17034437 17032572 17032696,82,1525886121,Artificial Neural Nets Grow Brainlike Navigation Cells,story,https://www.quantamagazine.org/artificial-neural-nets-grow-brainlike-navigation-cells-20180509/
mhashemi,36,17032257,17033430 17032634 17032529 17032343 17034593 17034295 17034322 17032598 17032770 17033738 17032460 17033111 17032733 17032961 17033671,107,1525889289,Glom – Restructured Data for Python,story,https://sedimental.org/glom_restructured_data.html
daveyarwood,157,17029560,17033286 17031351 17030923 17033795 17032612 17030657 17034573 17033865 17030767 17034298 17033083 17032691 17030689 17034455 17030375 17031227 17030361 17030431 17030461 17033036 17032622 17030558 17031692 17031387 17031385 17031682 17030757 17030837 17031476 17032182 17030924 17030568 17030885 17031863,249,1525872191,"Taskwarrior, where have you been all my life?",story,https://blog.djy.io/taskwarrior-where-have-you-been-all-my-life/
stadeschuldt,100,17030102,17030460 17031231 17030833 17030350 17033643 17030711 17030434 17031034 17030524 17030636 17031605 17031416 17030282 17030443 17031269 17031072 17031823 17030500 17030298 17030589 17031342,182,1525876268,"Mara: A lightweight ETL framework, halfway between plain scripts and Airflow",story,https://github.com/mara/data-integration
a_w,35,17031719,17034009 17032285 17034478 17033778 17032928,63,1525886480,"When banks abandoned American Samoa, the islands found a solution: public banks",story,https://www.washingtonpost.com/news/wonk/wp/2018/05/09/when-banks-abandoned-american-samoa-the-islands-found-a-century-old-solution-that-could-be-the-future-of-finance/?noredirect=on
jseliger,55,17034100,17034513 17034429 17034372 17034858 17034463 17034692 17034739 17034759 17034445 17034567 17034665 17034664 17034409 17034616 17034297 17034651 17034609 17034618,43,1525900141,"Love the Bus, Save Your City",story,https://www.citylab.com/transportation/2018/05/love-the-bus-save-your-city/559262/
JumpCrisscross,213,17032805,17033103 17032929 17032973 17032917 17032931 17033398 17033302 17032990 17033198 17034812 17033487 17034824 17034391 17033149 17034360 17034500 17033657 17033358 17034161 17034228 17032930 17034229 17034425 17033656 17033825 17034000 17034689 17033988 17033082 17034542 17034451 17032999 17033882 17032979 17032997 17033567 17033554 17034308 17033552 17032935,210,1525892509,California Votes to Require Rooftop Solar Power on New Homes,story,https://www.bloomberg.com/news/articles/2018-05-09/california-votes-to-require-rooftop-solar-power-on-new-homes
techrede,41,17030339,17032768 17032699 17034307 17032362 17033523 17032387 17032680 17032488 17032363 17032695,130,1525878138,Tech’s Two Philosophies,story,https://stratechery.com/2018/techs-two-philosophies/
ALee,0,17034504,,6,1525902820,Japan’s Rent-a-Family Industry,story,https://www.newyorker.com/magazine/2018/04/30/japans-rent-a-family-industry
GW150914,0,17029258,,10,1525868792,The Last Days of the Blue-Blood Harvest,story,https://www.theatlantic.com/science/archive/2018/05/blood-in-the-water/559229/?single_page=true
anotherevan,37,17034054,17034779 17034724 17034770 17034401 17034403 17034735 17034636 17034612 17034216 17034835 17034267 17034585 17034559 17034396 17034370 17034647,60,1525899781,“Cost of Living” pay for remote workers is BS,story,https://dev.to/sam_ferree/why-i-think-cost-of-living-pay-for-remote-workers-is-bs-5b68
raddevon,33,17030801,17032535 17033646 17032663 17031759 17032545 17032534 17032026 17032255 17033306 17031932 17031917 17031572,75,1525881231,Build a Focus System for Better Work/Life Balance as a Web Developer,story,https://raddevon.com/articles/focus-for-better-work-life-balance-as-a-web-developer/
mthomasb,0,17034074,,1,1525899934,Bonsai (YC W16) Seeks Growth and SEO Leads (remote),job,https://angel.co/bonsai/jobs
GW150914,2,17029252,17034510 17034581,15,1525868740,What Astronomers Are Learning from Gaia’s New Milky Way Map,story,https://www.quantamagazine.org/what-astronomers-are-learning-from-gaias-new-milky-way-map-20180508/
mroknich,0,17034433,,3,1525902221,"DocuSign Hackathon – $10,000+ in Prizes",story,https://momentum.docusign.com/hackathon
mijustin,26,17032620,17033288 17033258 17034641 17033593 17033376 17032639 17033252,56,1525891389,Why founders need hobbies,story,https://baremetrics.com/blog/why-founders-need-hobbies
dikiaap,175,17029513,17031582 17033135 17031905 17031996 17031627 17033776 17032783 17032745 17031838 17034728 17034684 17029605 17031456 17034428 17033628 17031748 17031851 17032560 17032355 17032073 17031878 17033367 17032428 17031685 17032413 17032851 17031573 17031795 17032540 17031757 17031724,270,1525871709,Firefox 60 released,story,https://www.mozilla.org/en-US/firefox/60.0/releasenotes/
john58,98,17029477,17029592 17029823 17029825 17029763 17029921 17032118 17031671 17031661 17032246 17030560 17030708 17029699 17030188,315,1525871426,Apple cracking down on applications that send location data to third-parties,story,https://9to5mac.com/2018/05/08/apple-location-apps-third-parties/
spking,65,17031533,17031664 17031742 17031896 17034326 17032099 17032098,104,1525885509,Tidal Accused of Falsifying Beyonce and Kanye West Streaming Numbers,story,http://variety.com/2018/biz/news/jay-z-tidal-accused-of-falsifying-beyonce-and-kanye-west-streaming-numbers-1202804222/
godelmachine,7,17029454,17030256 17030400 17030638,63,1525871275,Design and Evaluation of FPGA-Based Gigabit Ethernet Network Card (2004) [pdf],story,https://pdfs.semanticscholar.org/8bfe/8988c14703302ebd2d567924b27a5cb10c57.pdf
nicoserdeir,19,17033760,17034473 17034605 17034327 17034488 17034329 17034539 17034105,26,1525897945,"Growing a Time Tracking Software to $316,000/Month",story,https://www.failory.com/mistakes/hubstaff
Gravityloss,28,17028121,17029804 17028275 17029840 17028232 17030210 17032353 17029104 17028372,124,1525852828,Exeter team develops low-cost photoelectrode for water-splitting using sunlight,story,http://www.greencarcongress.com/2018/05/20180509-exeter.html
jxub,5,17028631,17029765 17031089 17029509,83,1525859948,TensorFlow: Machine Learning on Heterogeneous Distributed Systems (2015) [pdf],story,https://static.googleusercontent.com/media/research.google.com/en//pubs/archive/45166.pdf
blondie9x,109,17028938,17030181 17031760 17030590 17030559 17030447 17031684 17031674 17030664 17034637 17030417 17030507 17031623 17031754 17032557 17030299 17030195 17031766 17031886,190,1525864289,How 2 M.T.A. Decisions Pushed the Subway into Crisis,story,https://www.nytimes.com/interactive/2018/05/09/nyregion/subway-crisis-mta-decisions-signals-rules.html
ivank,687,17022963,17023963 17024262 17028020 17023027 17025227 17023226 17023768 17026916 17024202 17023137 17023328 17029111 17024822 17025903 17024613 17025934 17024857 17023667 17033765 17023110 17027126 17023412 17026104 17024011 17027247 17029597 17023070 17024214 17024034 17025234 17023741 17024570 17033464 17027958 17025061 17023417 17027751 17024648 17023201 17030824 17026393 17028105 17028862 17031060 17033424 17024149 17027900 17032828 17031173 17023271 17027226 17027137 17030880 17025141 17023340 17029730 17028845 17025453 17027806 17031309 17027249 17023464 17027612 17023747 17024461 17027150 17023478 17025538 17024353 17029617 17028699 17023638 17026210 17024649 17025993 17024178 17027631 17027265 17027329 17025760 17029954 17025465 17026584 17024663 17027260 17024403 17025204 17023908 17025187 17027017 17026017 17024371 17026882 17024488 17028279 17025429 17026059 17026573 17027194 17027899 17025514 17023151 17024389 17025539 17024171 17024009 17023966 17023651 17025293 17025966 17025071 17023659 17023750 17023839 17028903 17024268 17023537 17027074 17027278 17028351 17025013 17026208 17023309 17027190 17023237 17027555 17027469,1689,1525801904,Google Duplex: An AI System for Accomplishing Real World Tasks Over the Phone,story,https://ai.googleblog.com/2018/05/duplex-ai-system-for-natural-conversation.html
